File: lockd
Build ID: e4d61a645a1f2bc729cb1865a9a8fa7f759a8ceb
Type: cpu
Time: 2026-01-28 11:41:28 CET
Duration: 5.12s, Total samples = 6.46s (126.15%)
Showing nodes accounting for 4.37s, 67.65% of 6.46s total
Dropped 535 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 67.65%      0.06s  0.93%  golang.org/x/net/http2/hpack.(*Encoder).WriteField
         0     0% 67.65%      0.04s  0.62%  golang.org/x/net/http2/hpack.(*Encoder).searchTable
         0     0% 67.65%      0.04s  0.62%  golang.org/x/net/http2/hpack.(*headerFieldTable).search
         0     0% 67.65%      0.04s  0.62%  google.golang.org/protobuf/internal/impl.(*MessageInfo).marshal
         0     0% 67.65%      0.05s  0.77%  google.golang.org/protobuf/proto.Marshal
         0     0% 67.65%      0.05s  0.77%  google.golang.org/protobuf/proto.MarshalOptions.marshal
         0     0% 67.65%      0.12s  1.86%  internal/poll.(*FD).Pread
         0     0% 67.65%      0.12s  1.86%  internal/poll.(*FD).Pread.func1 (inline)
         0     0% 67.65%      0.23s  3.56%  internal/poll.(*FD).Pwrite
         0     0% 67.65%      0.17s  2.63%  internal/poll.(*FD).Read
         0     0% 67.65%      0.12s  1.86%  internal/poll.ignoringEINTR2[go.shape.int] (inline)
         0     0% 67.65%      0.41s  6.35%  internal/poll.ignoringEINTRIO (inline)
         0     0% 67.65%      0.04s  0.62%  internal/sync.runtime_doSpin
         0     0% 67.65%      0.07s  1.08%  io.(*SectionReader).Read
         0     0% 67.65%      0.36s  5.57%  io.ReadFull (inline)
         0     0% 67.65%      0.16s  2.48%  net.(*conn).Read
         0     0% 67.65%      0.26s  4.02%  net.(*conn).Write
         0     0% 67.65%      0.16s  2.48%  net.(*netFD).Read
         0     0% 67.65%      0.26s  4.02%  net.(*netFD).Write
         0     0% 67.65%      2.77s 42.88%  net/http.(*ServeMux).ServeHTTP
         0     0% 67.65%      0.06s  0.93%  net/http.(*ServeMux).findHandler
         0     0% 67.65%      0.48s  7.43%  net/http.(*conn).serve
         0     0% 67.65%      2.71s 41.95%  net/http.HandlerFunc.ServeHTTP
         0     0% 67.65%      2.77s 42.88%  net/http.initALPNRequest.ServeHTTP
         0     0% 67.65%      2.77s 42.88%  net/http.serverHandler.ServeHTTP
         0     0% 67.65%      0.12s  1.86%  os.(*File).ReadAt
         0     0% 67.65%      0.23s  3.56%  os.(*File).WriteAt
         0     0% 67.65%      0.12s  1.86%  os.(*File).pread (inline)
         0     0% 67.65%      0.23s  3.56%  os.(*File).pwrite (inline)
         0     0% 67.65%      0.04s  0.62%  os.ReadDir
         0     0% 67.65%      0.06s  0.93%  pkt.systems/kryptograf.(*service).MintDEK
         0     0% 67.65%      0.06s  0.93%  pkt.systems/kryptograf/keymgmt.MintDEK (inline)
         0     0% 67.65%      0.08s  1.24%  pkt.systems/kryptograf/stream.(*reader).Read
         0     0% 67.65%      0.08s  1.24%  pkt.systems/kryptograf/stream.(*reader).fill
         0     0% 67.65%      0.06s  0.93%  pkt.systems/kryptograf/stream.(*writer).Close
         0     0% 67.65%      0.05s  0.77%  pkt.systems/kryptograf/stream.NewEncryptWriter
         0     0% 67.65%      1.10s 17.03%  pkt.systems/lockd/internal/core.(*Service).Release
         0     0% 67.65%      0.55s  8.51%  pkt.systems/lockd/internal/core.(*Service).Update
         0     0% 67.65%      0.76s 11.76%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta
         0     0% 67.65%      0.14s  2.17%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta.func1.1
         0     0% 67.65%      0.07s  1.08%  pkt.systems/lockd/internal/core.(*Service).ensureMeta
         0     0% 67.65%      0.07s  1.08%  pkt.systems/lockd/internal/core.(*Service).loadMetaMaybeCached
         0     0% 67.65%      0.17s  2.63%  pkt.systems/lockd/internal/core.(*Service).updateLeaseIndex
         0     0% 67.65%      0.05s  0.77%  pkt.systems/lockd/internal/core.(*leaseMetrics).recordAcquire
         0     0% 67.65%      0.21s  3.25%  pkt.systems/lockd/internal/core.(*writePlan).Wait
         0     0% 67.65%      0.08s  1.24%  pkt.systems/lockd/internal/core.buildDocumentFromJSON
         0     0% 67.65%      0.56s  8.67%  pkt.systems/lockd/internal/httpapi.(*Handler).handleAcquire
         0     0% 67.65%      0.62s  9.60%  pkt.systems/lockd/internal/httpapi.(*Handler).handleUpdate
         0     0% 67.65%      0.04s  0.62%  pkt.systems/lockd/internal/httpapi.(*Handler).namespacedKey
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/httpapi.(*Handler).writeJSON
         0     0% 67.65%      0.11s  1.70%  pkt.systems/lockd/internal/httpapi.clientIdentityFromRequest
