File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:57:42 CET
Duration: 5.11s, Total samples = 12.90s (252.29%)
Showing nodes accounting for 8.18s, 63.41% of 12.90s total
Dropped 735 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
         0     0% 63.41%      0.30s  2.33%  internal/poll.(*FD).Pwrite
         0     0% 63.41%      0.37s  2.87%  internal/poll.(*FD).Read
         0     0% 63.41%      0.73s  5.66%  internal/poll.(*FD).Write
         0     0% 63.41%      0.07s  0.54%  internal/poll.(*FD).decref
         0     0% 63.41%      0.07s  0.54%  internal/poll.(*FD).destroy
         0     0% 63.41%      0.07s  0.54%  internal/poll.(*SysFile).destroy (inline)
         0     0% 63.41%      0.21s  1.63%  internal/poll.ignoringEINTR2[go.shape.int] (inline)
         0     0% 63.41%      1.19s  9.22%  internal/poll.ignoringEINTRIO (inline)
         0     0% 63.41%      0.18s  1.40%  internal/runtime/syscall.EpollWait
         0     0% 63.41%      0.12s  0.93%  internal/sync.runtime_doSpin
         0     0% 63.41%      0.13s  1.01%  io.(*LimitedReader).Read
         0     0% 63.41%      0.12s  0.93%  io.(*SectionReader).Read
         0     0% 63.41%      0.61s  4.73%  io.ReadAtLeast
         0     0% 63.41%      0.61s  4.73%  io.ReadFull (inline)
         0     0% 63.41%      0.35s  2.71%  net.(*conn).Read
         0     0% 63.41%      0.73s  5.66%  net.(*conn).Write
         0     0% 63.41%      0.73s  5.66%  net.(*netFD).Write
         0     0% 63.41%      0.91s  7.05%  net/http.(*conn).serve
         0     0% 63.41%      0.08s  0.62%  net/http.(*maxBytesReader).Read
         0     0% 63.41%      5.93s 45.97%  net/http.HandlerFunc.ServeHTTP
         0     0% 63.41%      0.10s  0.78%  net/http.Header.Get (inline)
         0     0% 63.41%      6.01s 46.59%  net/http.initALPNRequest.ServeHTTP
         0     0% 63.41%      0.10s  0.78%  net/textproto.MIMEHeader.Get
         0     0% 63.41%      0.07s  0.54%  os.(*File).Close
         0     0% 63.41%      0.23s  1.78%  os.(*File).ReadAt
         0     0% 63.41%      0.13s  1.01%  os.(*File).ReadDir
         0     0% 63.41%      0.31s  2.40%  os.(*File).WriteAt
         0     0% 63.41%      0.07s  0.54%  os.(*file).close
         0     0% 63.41%      0.09s   0.7%  os.Open (inline)
         0     0% 63.41%      0.11s  0.85%  os.OpenFile
         0     0% 63.41%      0.18s  1.40%  os.ReadDir
         0     0% 63.41%      0.14s  1.09%  os.ignoringEINTR (inline)
         0     0% 63.41%      0.11s  0.85%  os.open
         0     0% 63.41%      0.11s  0.85%  os.openFileNolog
         0     0% 63.41%      0.09s   0.7%  os.openFileNolog.func1 (inline)
         0     0% 63.41%      0.08s  0.62%  pkt.systems/kryptograf.(*service).DecryptReader
         0     0% 63.41%      0.14s  1.09%  pkt.systems/kryptograf.(*service).EncryptWriter
         0     0% 63.41%      0.07s  0.54%  pkt.systems/kryptograf.(*service).MintDEK
         0     0% 63.41%      0.17s  1.32%  pkt.systems/kryptograf.(*service).ReconstructDEK
         0     0% 63.41%      0.07s  0.54%  pkt.systems/kryptograf/keymgmt.MintDEK (inline)
         0     0% 63.41%      0.07s  0.54%  pkt.systems/kryptograf/keymgmt.MintDEKWithNonceSize
         0     0% 63.41%      0.17s  1.32%  pkt.systems/kryptograf/keymgmt.ReconstructDEK
         0     0% 63.41%      0.17s  1.32%  pkt.systems/kryptograf/keymgmt.ReconstructMaterial
         0     0% 63.41%      0.15s  1.16%  pkt.systems/kryptograf/stream.(*reader).Read
         0     0% 63.41%      0.15s  1.16%  pkt.systems/kryptograf/stream.(*reader).fill
         0     0% 63.41%      0.18s  1.40%  pkt.systems/kryptograf/stream.(*writer).Close
         0     0% 63.41%      0.14s  1.09%  pkt.systems/kryptograf/stream.(*writer).emitChunk
         0     0% 63.41%      0.09s   0.7%  pkt.systems/kryptograf/stream.applyOptions.AESGCM.func1
         0     0% 63.41%      0.07s  0.54%  pkt.systems/kryptograf/stream.writeFull
         0     0% 63.41%      0.66s  5.12%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta.func1.1
         0     0% 63.41%      0.34s  2.64%  pkt.systems/lockd/internal/core.(*Service).maybeThrottleLock
         0     0% 63.41%      0.07s  0.54%  pkt.systems/lockd/internal/core.(*Service).namespacedKey
         0     0% 63.41%      0.24s  1.86%  pkt.systems/lockd/internal/core.(*Service).updateLeaseIndex
         0     0% 63.41%      0.83s  6.43%  pkt.systems/lockd/internal/core.(*writePlan).Wait
         0     0% 63.41%      0.90s  6.98%  pkt.systems/lockd/internal/httpapi.(*Handler).handleAcquire
         0     0% 63.41%      3.10s 24.03%  pkt.systems/lockd/internal/httpapi.(*Handler).handleRelease
         0     0% 63.41%      0.12s  0.93%  pkt.systems/lockd/internal/httpapi.applyCorrelation
         0     0% 63.41%      0.32s  2.48%  pkt.systems/lockd/internal/httpapi.clientIdentityFromRequest
         0     0% 63.41%      0.09s   0.7%  pkt.systems/lockd/internal/jsonutil.CompactWriter
         0     0% 63.41%      0.32s  2.48%  pkt.systems/lockd/internal/qrf.(*Controller).Decide
         0     0% 63.41%      0.32s  2.48%  pkt.systems/lockd/internal/qrf.(*Controller).recordDecision (inline)
         0     0% 63.41%      0.10s  0.78%  pkt.systems/lockd/internal/search/index.(*Manager).Insert
         0     0% 63.41%      0.09s   0.7%  pkt.systems/lockd/internal/search/index.(*Writer).Insert
         0     0% 63.41%      0.18s  1.40%  pkt.systems/lockd/internal/storage.(*Crypto).EncryptMetadata
         0     0% 63.41%      0.09s   0.7%  pkt.systems/lockd/internal/storage.(*Crypto).MintMaterial
         0     0% 63.41%      1.28s  9.92%  pkt.systems/lockd/internal/storage.(*defaultStagingBackend).PromoteStagedState
         0     0% 63.41%      0.14s  1.09%  pkt.systems/lockd/internal/storage.(*materialWriteCloser).Close
         0     0% 63.41%      0.07s  0.54%  pkt.systems/lockd/internal/storage/disk.(*Store).DeleteObject
         0     0% 63.41%      0.17s  1.32%  pkt.systems/lockd/internal/storage/disk.(*Store).PutObject
         0     0% 63.41%      0.53s  4.11%  pkt.systems/lockd/internal/storage/disk.(*Store).ReadState
         0     0% 63.41%      0.12s  0.93%  pkt.systems/lockd/internal/storage/disk.(*Store).Remove
         0     0% 63.41%      0.71s  5.50%  pkt.systems/lockd/internal/storage/disk.(*Store).StoreMeta
         0     0% 63.41%      1.21s  9.38%  pkt.systems/lockd/internal/storage/disk.(*Store).WriteState
         0     0% 63.41%      0.31s  2.40%  pkt.systems/lockd/internal/storage/disk.(*Store).loggers
         0     0% 63.41%      0.16s  1.24%  pkt.systems/lockd/internal/storage/disk.(*fsyncBatcher).batchLoop
         0     0% 63.41%      0.16s  1.24%  pkt.systems/lockd/internal/storage/disk.(*fsyncBatcher).processBatch
         0     0% 63.41%      0.54s  4.19%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendLoop
         0     0% 63.41%      0.15s  1.16%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).commitPendingNoSync
         0     0% 63.41%      0.18s  1.40%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).flushAppends.func2
         0     0% 63.41%      0.17s  1.32%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).loadManifestLocked
         0     0% 63.41%      0.12s  0.93%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).openPayloadReader
         0     0% 63.41%      0.40s  3.10%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshForce (inline)
         0     0% 63.41%      0.43s  3.33%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshWithMode
         0     0% 63.41%      0.11s  0.85%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).resolvePayloadSpan
         0     0% 63.41%      0.18s  1.40%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).scanSegmentsLocked
         0     0% 63.41%      0.17s  1.32%  pkt.systems/lockd/internal/storage/disk.(*manifestState).readNewSegments
         0     0% 63.41%      0.12s  0.93%  pkt.systems/lockd/internal/storage/disk.(*segmentReader).Read
         0     0% 63.41%      0.14s  1.09%  pkt.systems/lockd/internal/storage/disk.readPayloadInline
         0     0% 63.41%      0.16s  1.24%  pkt.systems/lockd/internal/storage/disk.syncFile
         0     0% 63.41%      0.07s  0.54%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject
         0     0% 63.41%      0.07s  0.54%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject.func1
         0     0% 63.41%      0.17s  1.32%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject
         0     0% 63.41%      0.17s  1.32%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject.func1
         0     0% 63.41%      0.59s  4.57%  pkt.systems/lockd/internal/storage/retry.(*backend).ReadState
         0     0% 63.41%      0.54s  4.19%  pkt.systems/lockd/internal/storage/retry.(*backend).ReadState.func1
         0     0% 63.41%      0.12s  0.93%  pkt.systems/lockd/internal/storage/retry.(*backend).Remove
         0     0% 63.41%      0.12s  0.93%  pkt.systems/lockd/internal/storage/retry.(*backend).Remove.func1
         0     0% 63.41%      0.71s  5.50%  pkt.systems/lockd/internal/storage/retry.(*backend).StoreMeta.func1
         0     0% 63.41%      1.22s  9.46%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState
         0     0% 63.41%      1.21s  9.38%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState.func1
         0     0% 63.41%      0.17s  1.32%  runtime.(*mcentral).grow
         0     0% 63.41%      0.07s  0.54%  runtime.(*mcentral).uncacheSpan
         0     0% 63.41%      0.13s  1.01%  runtime.(*mheap).alloc
