File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 09:39:00 CET
Duration: 5.11s, Total samples = 12.60s (246.47%)
Showing nodes accounting for 8.39s, 66.59% of 12.60s total
Dropped 770 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
         0     0% 66.59%      0.56s  4.44%  crypto/tls.(*Conn).write
         0     0% 66.59%      0.16s  1.27%  crypto/x509/pkix.Name.String
         0     0% 66.59%      0.11s  0.87%  crypto/x509/pkix.Name.ToRDNSequence
         0     0% 66.59%      0.11s  0.87%  crypto/x509/pkix.Name.appendRDNs
         0     0% 66.59%      0.37s  2.94%  encoding/json.(*Decoder).Decode
         0     0% 66.59%      0.17s  1.35%  encoding/json.(*Decoder).readValue
         0     0% 66.59%      0.10s  0.79%  encoding/json.(*Decoder).refill
         0     0% 66.59%      0.20s  1.59%  encoding/json.(*decodeState).unmarshal
         0     0% 66.59%      0.20s  1.59%  encoding/json.(*decodeState).value
         0     0% 66.59%      0.27s  2.14%  go.opentelemetry.io/otel/attribute.NewSet (inline)
         0     0% 66.59%      0.25s  1.98%  go.opentelemetry.io/otel/attribute.newSet
         0     0% 66.59%      0.29s  2.30%  go.opentelemetry.io/otel/metric.WithAttributes
         0     0% 66.59%      0.07s  0.56%  golang.org/x/crypto/hkdf.Extract
         0     0% 66.59%      0.08s  0.63%  golang.org/x/crypto/hkdf.New
         0     0% 66.59%      0.57s  4.52%  golang.org/x/net/http2.(*Framer).ReadFrame
         0     0% 66.59%      0.14s  1.11%  golang.org/x/net/http2.(*Framer).ReadFrameForHeader
         0     0% 66.59%      0.85s  6.75%  golang.org/x/net/http2.(*Server).ServeConn (inline)
         0     0% 66.59%      0.85s  6.75%  golang.org/x/net/http2.(*Server).serveConn
         0     0% 66.59%      0.73s  5.79%  golang.org/x/net/http2.(*bufferedWriter).Flush
         0     0% 66.59%      0.08s  0.63%  golang.org/x/net/http2.(*pipe).Write
         0     0% 66.59%      0.37s  2.94%  golang.org/x/net/http2.(*responseWriter).Flush (inline)
         0     0% 66.59%      0.73s  5.79%  golang.org/x/net/http2.(*serverConn).Flush
         0     0% 66.59%      0.09s  0.71%  golang.org/x/net/http2.(*serverConn).processData
         0     0% 66.59%      0.45s  3.57%  golang.org/x/net/http2.(*serverConn).processFrameFromReader
         0     0% 66.59%      0.40s  3.17%  golang.org/x/net/http2.(*serverConn).runHandler.func1
         0     0% 66.59%      0.10s  0.79%  golang.org/x/net/http2.(*serverConn).startFrameWrite
         0     0% 66.59%      1.06s  8.41%  golang.org/x/net/http2.(*serverConn).writeFrameAsync
         0     0% 66.59%      0.07s  0.56%  golang.org/x/net/http2.(*serverConn).writeFrameFromHandler
         0     0% 66.59%      0.09s  0.71%  golang.org/x/net/http2.(*serverConn).wroteFrame
         0     0% 66.59%      0.29s  2.30%  golang.org/x/net/http2.(*writeResHeaders).writeFrame
         0     0% 66.59%      0.85s  6.75%  golang.org/x/net/http2.ConfigureServer.func2
         0     0% 66.59%      0.85s  6.75%  golang.org/x/net/http2.ConfigureServer.func3
         0     0% 66.59%      0.36s  2.86%  golang.org/x/net/http2.chunkWriter.Write
         0     0% 66.59%      0.20s  1.59%  golang.org/x/net/http2.encKV
         0     0% 66.59%      0.23s  1.83%  golang.org/x/net/http2.encodeHeaders
         0     0% 66.59%      0.73s  5.79%  golang.org/x/net/http2.flushFrameWriter.writeFrame
         0     0% 66.59%      0.42s  3.33%  golang.org/x/net/http2.readFrameHeader
         0     0% 66.59%      0.69s  5.48%  golang.org/x/net/http2.writeWithByteTimeout
         0     0% 66.59%      0.08s  0.63%  golang.org/x/net/http2/hpack.(*Decoder).Write
         0     0% 66.59%      0.08s  0.63%  golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
         0     0% 66.59%      0.20s  1.59%  golang.org/x/net/http2/hpack.(*Encoder).WriteField
         0     0% 66.59%      0.18s  1.43%  golang.org/x/net/http2/hpack.(*Encoder).searchTable
         0     0% 66.59%      0.18s  1.43%  golang.org/x/net/http2/hpack.(*headerFieldTable).search
         0     0% 66.59%      0.08s  0.63%  google.golang.org/protobuf/proto.Marshal
         0     0% 66.59%      0.08s  0.63%  google.golang.org/protobuf/proto.MarshalOptions.marshal
         0     0% 66.59%      0.21s  1.67%  internal/poll.(*FD).Pread
         0     0% 66.59%      0.20s  1.59%  internal/poll.(*FD).Pread.func1 (inline)
         0     0% 66.59%      0.35s  2.78%  internal/poll.(*FD).Pwrite
         0     0% 66.59%      0.55s  4.37%  internal/poll.(*FD).Write
         0     0% 66.59%      0.20s  1.59%  internal/poll.ignoringEINTR2[go.shape.int] (inline)
         0     0% 66.59%      0.92s  7.30%  internal/poll.ignoringEINTRIO (inline)
         0     0% 66.59%      0.07s  0.56%  internal/runtime/maps.newGroups (inline)
         0     0% 66.59%      0.07s  0.56%  internal/runtime/maps.newarray
         0     0% 66.59%      0.17s  1.35%  internal/runtime/syscall.EpollWait
         0     0% 66.59%      0.19s  1.51%  internal/sync.runtime_doSpin
         0     0% 66.59%      0.64s  5.08%  io.ReadFull (inline)
         0     0% 66.59%      0.56s  4.44%  net.(*conn).Write
         0     0% 66.59%      5.63s 44.68%  net/http.(*ServeMux).ServeHTTP
         0     0% 66.59%      0.91s  7.22%  net/http.(*conn).serve
         0     0% 66.59%      5.50s 43.65%  net/http.HandlerFunc.ServeHTTP
         0     0% 66.59%      0.21s  1.67%  os.(*File).ReadAt
         0     0% 66.59%      0.08s  0.63%  os.(*File).ReadDir
         0     0% 66.59%      0.35s  2.78%  os.(*File).WriteAt
         0     0% 66.59%      0.21s  1.67%  os.(*File).pread (inline)
         0     0% 66.59%      0.35s  2.78%  os.(*File).pwrite (inline)
         0     0% 66.59%      0.12s  0.95%  os.Open (inline)
         0     0% 66.59%      0.14s  1.11%  os.OpenFile
         0     0% 66.59%      0.13s  1.03%  os.ReadDir
         0     0% 66.59%      0.11s  0.87%  os.ignoringEINTR (inline)
         0     0% 66.59%      0.10s  0.79%  os.open
         0     0% 66.59%      0.07s  0.56%  pkt.systems/kryptograf.(*service).DecryptReader
         0     0% 66.59%      0.12s  0.95%  pkt.systems/kryptograf.(*service).EncryptWriter
         0     0% 66.59%      0.14s  1.11%  pkt.systems/kryptograf.(*service).ReconstructDEK
         0     0% 66.59%      0.14s  1.11%  pkt.systems/kryptograf/keymgmt.ReconstructDEK
         0     0% 66.59%      0.14s  1.11%  pkt.systems/kryptograf/keymgmt.ReconstructMaterial
         0     0% 66.59%      0.13s  1.03%  pkt.systems/kryptograf/keymgmt.deriveDEK
         0     0% 66.59%      0.17s  1.35%  pkt.systems/kryptograf/stream.(*reader).Read
         0     0% 66.59%      0.17s  1.35%  pkt.systems/kryptograf/stream.(*reader).fill
         0     0% 66.59%      0.07s  0.56%  pkt.systems/kryptograf/stream.NewDecryptReader
         0     0% 66.59%      0.11s  0.87%  pkt.systems/kryptograf/stream.NewEncryptWriter
         0     0% 66.59%      0.11s  0.87%  pkt.systems/kryptograf/stream.applyOptions.AESGCM.func1
         0     0% 66.59%      0.07s  0.56%  pkt.systems/kryptograf/stream.zeroAll (inline)
         0     0% 66.59%      0.72s  5.71%  pkt.systems/lockd/internal/core.(*Service).Acquire
         0     0% 66.59%      0.77s  6.11%  pkt.systems/lockd/internal/core.(*Service).Update
         0     0% 66.59%      0.57s  4.52%  pkt.systems/lockd/internal/core.(*Service).applyTxnDecisionForMeta.func1.1
         0     0% 66.59%      0.11s  0.87%  pkt.systems/lockd/internal/core.(*Service).ensureMeta
         0     0% 66.59%      0.30s  2.38%  pkt.systems/lockd/internal/core.(*Service).updateLeaseIndex
         0     0% 66.59%      0.28s  2.22%  pkt.systems/lockd/internal/core.buildDocumentFromJSON
         0     0% 66.59%      2.90s 23.02%  pkt.systems/lockd/internal/httpapi.(*Handler).handleRelease
         0     0% 66.59%      0.30s  2.38%  pkt.systems/lockd/internal/qrf.(*Controller).Decide
         0     0% 66.59%      0.30s  2.38%  pkt.systems/lockd/internal/qrf.(*Controller).recordDecision (inline)
         0     0% 66.59%      0.11s  0.87%  pkt.systems/lockd/internal/search/index.(*Manager).Insert
         0     0% 66.59%      0.11s  0.87%  pkt.systems/lockd/internal/search/index.(*Writer).Insert
         0     0% 66.59%      0.74s  5.87%  pkt.systems/lockd/internal/storage.(*CommitGroup).Wait
         0     0% 66.59%      0.07s  0.56%  pkt.systems/lockd/internal/storage.(*Crypto).DecryptReaderForMaterial
         0     0% 66.59%      0.20s  1.59%  pkt.systems/lockd/internal/storage.(*Crypto).EncryptMetadata
         0     0% 66.59%      0.14s  1.11%  pkt.systems/lockd/internal/storage.(*Crypto).MaterialFromDescriptor
         0     0% 66.59%      0.18s  1.43%  pkt.systems/lockd/internal/storage.(*defaultStagingBackend).StageState
         0     0% 66.59%      0.30s  2.38%  pkt.systems/lockd/internal/storage.MarshalMetaRecord
         0     0% 66.59%      0.15s  1.19%  pkt.systems/lockd/internal/storage/disk.(*Store).DeleteObject
         0     0% 66.59%      0.11s  0.87%  pkt.systems/lockd/internal/storage/disk.(*Store).LoadMeta
         0     0% 66.59%      0.14s  1.11%  pkt.systems/lockd/internal/storage/disk.(*Store).PutObject
         0     0% 66.59%      0.30s  2.38%  pkt.systems/lockd/internal/storage/disk.(*Store).loggers
         0     0% 66.59%      0.13s  1.03%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).commitPendingNoSync
         0     0% 66.59%      0.14s  1.11%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).flushAppends.func2
         0     0% 66.59%      0.22s  1.75%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).loadManifestLocked
         0     0% 66.59%      0.12s  0.95%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).openPayloadReader
         0     0% 66.59%      0.41s  3.25%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshForce (inline)
         0     0% 66.59%      0.42s  3.33%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshWithMode
         0     0% 66.59%      0.10s  0.79%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).resolvePayloadSpan
         0     0% 66.59%      0.13s  1.03%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).scanSegmentsLocked
         0     0% 66.59%      0.22s  1.75%  pkt.systems/lockd/internal/storage/disk.(*manifestState).readNewSegments
         0     0% 66.59%      0.13s  1.03%  pkt.systems/lockd/internal/storage/disk.(*segmentReader).Read
         0     0% 66.59%      0.12s  0.95%  pkt.systems/lockd/internal/storage/disk.readPayloadInline
         0     0% 66.59%      0.15s  1.19%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject
         0     0% 66.59%      0.15s  1.19%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject.func1
         0     0% 66.59%      0.11s  0.87%  pkt.systems/lockd/internal/storage/retry.(*backend).LoadMeta
         0     0% 66.59%      0.11s  0.87%  pkt.systems/lockd/internal/storage/retry.(*backend).LoadMeta.func1
         0     0% 66.59%      0.14s  1.11%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject
         0     0% 66.59%      0.14s  1.11%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject.func1
         0     0% 66.59%      0.44s  3.49%  pkt.systems/lockd/internal/storage/retry.(*backend).ReadState
         0     0% 66.59%      0.84s  6.67%  pkt.systems/lockd/internal/storage/retry.(*backend).StoreMeta.func1
         0     0% 66.59%      0.96s  7.62%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState
         0     0% 66.59%      0.96s  7.62%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState.func1
         0     0% 66.59%      2.69s 21.35%  pkt.systems/lockd/internal/storage/retry.(*backend).withRetry
         0     0% 66.59%      0.08s  0.63%  pkt.systems/lockd/internal/svcfields.WithSubsystem
         0     0% 66.59%      0.07s  0.56%  pkt.systems/lockd/namespaces.NormalizeKey
         0     0% 66.59%      0.48s  3.81%  pkt.systems/pslog.(*jsonPlainLogger).With
         0     0% 66.59%      0.22s  1.75%  pkt.systems/pslog.appendJSONValuePlain
         0     0% 66.59%      0.09s  0.71%  pkt.systems/pslog.collectFields
         0     0% 66.59%      0.14s  1.11%  runtime.(*mcentral).grow
         0     0% 66.59%      0.12s  0.95%  runtime.(*mheap).alloc
         0     0% 66.59%      0.11s  0.87%  runtime.(*mheap).allocSpan
         0     0% 66.59%      0.19s  1.51%  runtime.(*mspan).markBitsForIndex (inline)
         0     0% 66.59%      0.14s  1.11%  runtime.(*mspan).typePointersOfUnchecked
         0     0% 66.59%      0.23s  1.83%  runtime.(*unwinder).next
         0     0% 66.59%      0.11s  0.87%  runtime.chansend
         0     0% 66.59%      0.10s  0.79%  runtime.chansend1
         0     0% 66.59%      0.58s  4.60%  runtime.copystack
         0     0% 66.59%      0.13s  1.03%  runtime.funcspdelta (inline)
