File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:24:15 CET
Duration: 5.12s, Total samples = 6.24s (121.92%)
Showing nodes accounting for 4.12s, 66.03% of 6.24s total
Dropped 547 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 66.03%      0.24s  3.85%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 66.03%      0.49s  7.85%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 66.03%      0.14s  2.24%  runtime.goexit0
         0     0% 66.03%      0.11s  1.76%  runtime.goready (inline)
         0     0% 66.03%      0.12s  1.92%  runtime.growslice
         0     0% 66.03%      0.06s  0.96%  runtime.lock (inline)
         0     0% 66.03%      0.06s  0.96%  runtime.lockWithRank (inline)
         0     0% 66.03%      0.20s  3.21%  runtime.mPark (inline)
         0     0% 66.03%      0.06s  0.96%  runtime.makeslicecopy
         0     0% 66.03%      0.04s  0.64%  runtime.newMarkBits
         0     0% 66.03%      0.08s  1.28%  runtime.newproc
         0     0% 66.03%      0.08s  1.28%  runtime.newproc.func1
         0     0% 66.03%      0.25s  4.01%  runtime.newstack
         0     0% 66.03%      0.04s  0.64%  runtime.pcdatavalue
         0     0% 66.03%      0.11s  1.76%  runtime.ready
         0     0% 66.03%      0.09s  1.44%  runtime.resetspinning
         0     0% 66.03%      0.12s  1.92%  runtime.runqsteal
         0     0% 66.03%      0.11s  1.76%  runtime.send
         0     0% 66.03%      0.10s  1.60%  runtime.send.goready.func1
         0     0% 66.03%      0.15s  2.40%  runtime.startm
         0     0% 66.03%      0.21s  3.37%  runtime.stopm
         0     0% 66.03%      0.04s  0.64%  runtime.sweepone
         0     0% 66.03%      1.01s 16.19%  runtime.systemstack
         0     0% 66.03%      0.04s  0.64%  runtime.unlock (inline)
         0     0% 66.03%      0.04s  0.64%  runtime.unlockWithRank (inline)
